Study,Category,Consolidated Name,reagent,median
Study A,B cells,B Cells Plasma STAT5+,CD27,132.6586761
Study A,Granulocytes,Basophils,CD27,1.195079386
Study A,B cells,B Cells,CD27,1.931013882
Study A,B cells,B Cells CSM,CD27,13.4996438
Study A,B cells,B Cells NCSM,CD27,10.07239103
Study A,B cells,B Cells Plasma,CD27,9.34533453
Study A,Granulocytes,CD66+,CD27,1.130263329
Study A,NK cells,NK CD56+CD16- Cells,CD27,3.196724951
Study A,NK cells,NK CD56+CD16- Cells CD38+Ki67+,CD27,2.805860519
Study A,NK cells,NK CD56loCD16+ Cells,CD27,1.686382264
Study A,NK cells,NK CD56loCD16+ Cells CD38+Ki67+,CD27,1.762641758
Study A,NK cells,NKT Cells,CD27,9.080432296
Study A,NK cells,NKT Cells CD38+,CD27,16.20759392
Study A,CD4 T cells,CD3+,CD27,36.7906065
Study A,CD4 T cells,CD4 T Cells,CD27,42.79490566
Study A,CD4 T cells,CD4 T Cells CD38+,CD27,64.68922424
Study A,CD4 T cells,CD4 T Cells CD38+Ki67+,CD27,44.51095676
Study A,CD4 T cells,CD4 T Cells Memory,CD27,35.70484161
Study A,CD4 T cells,CD4 T Cells Memory CD38+,CD27,59.52972126
Study A,CD4 T cells,CD4 T Cells Memory CD38+Ki67+,CD27,41.88478756
Study A,CD8 T cells,CD8 T Cells,CD27,32.54039383
Study A,CD4 T cells,CD4 T Cells CD161+,CD27,9.593300819
Study A,CD8 T cells,CD8 T Cells CD161+,CD27,52.87235451
Study A,CD8 T cells,CD8 T Cells CD38+,CD27,39.03863716
Study A,CD8 T cells,CD8 T Cells CD38+Ki67+,CD27,2.14974314
Study A,CD8 T cells,CD8 T Cells CD45RA+CD27- CD38+,CD27,2.440747261
Study A,CD8 T cells,CD8 T Cells CD45RA+CD27- CD38+Ki67+,CD27,2.279050231
Study A,CD8 T cells,CD8 T Cells Memory,CD27,32.4332056
Study A,CD8 T cells,CD8 T Cells Memory CD38+,CD27,68.20241547
Study A,CD8 T cells,CD8 T Cells Memory CD38+Ki67+,CD27,60.973526
Study A,CD8 T cells,CD8 T Cells CD45RA+CD27-,CD27,2.202317119
Study A,Monocytes,cMCs,CD27,2.21904254
Study A,Monocytes,intMCs,CD27,2.310616434
Study A,Dendritic cells,mDCs,CD27,2.003030777
Study A,Monocytes,ncMCs,CD27,2.167566299
Study A,Dendritic cells,pDCs,CD27,2.11243093
Study A,Dendritic cells,pDC CD38+,CD27,2.12322998
Study A,B cells,B Cells Plasma STAT5+,CD45RA,421.2224121
